link,response,title
/login/?lang=en-us&intl=us&src=fp-us&next=https://www.engadget.com/gaming/,<200 https://www.engadget.com/gaming/>,"            ,
            "
/,<200 https://www.engadget.com/gaming/>,"
    ,
      "
/gear/,<200 https://www.engadget.com/gaming/>,"
    ,
      "
/gaming/,<200 https://www.engadget.com/gaming/>,"
    ,
      "
/entertainment/,<200 https://www.engadget.com/gaming/>,"
    ,
      "
/tomorrow/,<200 https://www.engadget.com/gaming/>,"
    ,
      "
/buyers-guide/,<200 https://www.engadget.com/gaming/>,"
    ,
      "
/videos/,<200 https://www.engadget.com/gaming/>,"
    ,
      "
/reviews/,<200 https://www.engadget.com/gaming/>,"
    ,
      "
https://www.facebook.com/engadget,<200 https://www.engadget.com/gaming/>,"
          ,
        "
https://twitter.com/engadget,<200 https://www.engadget.com/gaming/>,"
          ,
        "
https://www.youtube.com/engadget,<200 https://www.engadget.com/gaming/>,"
          ,
        "
/login/?lang=en-us&intl=us&src=fp-us&next=https://www.engadget.com/gaming/,<200 https://www.engadget.com/gaming/>,"
    ,
      "
https://login.engadget.com/account/create?specId=usernameReg,<200 https://www.engadget.com/gaming/>,"
    ,
      "
/gear/,<200 https://www.engadget.com/gaming/>,"
                Gear
              "
/gaming/,<200 https://www.engadget.com/gaming/>,"
                Gaming
              "
/entertainment/,<200 https://www.engadget.com/gaming/>,"
                Entertainment
              "
/tomorrow/,<200 https://www.engadget.com/gaming/>,"
                Tomorrow
              "
/buyers-guide/,<200 https://www.engadget.com/gaming/>,"
                The Buyer's Guide
              "
/videos/,<200 https://www.engadget.com/gaming/>,"
                Video
              "
/reviews/,<200 https://www.engadget.com/gaming/>,"
                Reviews
              "
/login/?lang=en-us&intl=us&src=fp-us&next=https://www.engadget.com/gaming/,<200 https://www.engadget.com/gaming/>,"
                  ,
                "
https://www.engadget.com/about/,<200 https://www.engadget.com/gaming/>,About Engadget
https://www.engadget.com/about-our-advertising/,<200 https://www.engadget.com/gaming/>,About Our Ads
https://www.engadget.com/about/advertise/,<200 https://www.engadget.com/gaming/>,Advertise
https://www.engadget.com/brand-kit/,<200 https://www.engadget.com/gaming/>,Brand Kit
https://www.engadget.com/about/buyers-guide/,<200 https://www.engadget.com/gaming/>,Buyers Guide
https://www.engadget.com/about/contact/,<200 https://www.engadget.com/gaming/>,Contact Us
https://www.engadget.com/rss.xml,<200 https://www.engadget.com/gaming/>,RSS Feed
https://www.engadget.com/reviews/,<200 https://www.engadget.com/gaming/>,Reviews
https://www.engadget.com/gear/,<200 https://www.engadget.com/gaming/>,Gear
https://www.engadget.com/gaming/,<200 https://www.engadget.com/gaming/>,Gaming
https://www.engadget.com/entertainment/,<200 https://www.engadget.com/gaming/>,Entertainment
https://www.engadget.com/tomorrow/,<200 https://www.engadget.com/gaming/>,Tomorrow
https://www.engadget.com/buyers-guide/,<200 https://www.engadget.com/gaming/>,The Buyer's Guide
https://www.engadget.com/videos/,<200 https://www.engadget.com/gaming/>,Video
https://www.engadget.com/podcasts/,<200 https://www.engadget.com/gaming/>,Podcasts
http://deals.gdgt.com/,<200 https://www.engadget.com/gaming/>,Deals
https://www.engadget.com/2017/05/01/engadget-commenting-policy/,<200 https://www.engadget.com/gaming/>,Comment Guidelines
https://www.engadget.com/about/tips/,<200 https://www.engadget.com/gaming/>,Send us a tip!
https://www.engadget.com/about/support/,<200 https://www.engadget.com/gaming/>,Support
http://chinese.engadget.com/,<200 https://www.engadget.com/gaming/>,繁體中文
http://cn.engadget.com/,<200 https://www.engadget.com/gaming/>,简体中文
http://japanese.engadget.com/,<200 https://www.engadget.com/gaming/>,日本版
https://www.engadget.com/uk,<200 https://www.engadget.com/gaming/>,UK
https://play.google.com/store/apps/details?id=com.aol.mobile.engadget&feature=nav_result#?t=W251bGwsMSwyLDNd,<200 https://www.engadget.com/gaming/>,Android
https://itunes.apple.com/us/app/engadget/id347839246?mt=8&ign-mpt=uo%3D4,<200 https://www.engadget.com/gaming/>,iPhone
https://itunes.apple.com/us/app/engadget/id347839246?mt=8&ign-mpt=uo%3D4,<200 https://www.engadget.com/gaming/>,iPad
https://www.facebook.com/Engadget,<200 https://www.engadget.com/gaming/>,"
                  ,
                "
https://twitter.com/engadget,<200 https://www.engadget.com/gaming/>,"
                  ,
                "
https://plus.google.com/+Engadget,<200 https://www.engadget.com/gaming/>,"
                  ,
                "
https://www.youtube.com/engadget,<200 https://www.engadget.com/gaming/>,"
                  ,
                "
https://instagram.com/engadget,<200 https://www.engadget.com/gaming/>,"
                  ,
                "
http://engadget.tumblr.com/,<200 https://www.engadget.com/gaming/>,"
                  ,
                "
https://www.linkedin.com/company/101421,<200 https://www.engadget.com/gaming/>,"
                  ,
                "
https://policies.oath.com/us/en/oath/privacy/guce/faq/index.html,<200 https://www.engadget.com/gaming/>,Learn More
http://www.engadgetreprints.com/,<200 https://www.engadget.com/gaming/>,Reprints and Permissions
https://policies.oath.com/xw/en/oath/privacy/intl/index.html,<200 https://www.engadget.com/gaming/>,"Privacy
                  Policy (Updated)"
https://policies.oath.com/xw/en/oath/terms/otos/index.html,<200 https://www.engadget.com/gaming/>,"Terms
                  of Service (Updated)"
http://legal.aol.com/trademarks/,<200 https://www.engadget.com/gaming/>,Trademarks
https://www.engadget.com/about/advertise,<200 https://www.engadget.com/gaming/>,Advertise
/login/?lang=en-us&intl=us&src=fp-us&next=https://www.engadget.com/buyers-guide/,<200 https://www.engadget.com/buyers-guide/>,"            ,
            "
/,<200 https://www.engadget.com/buyers-guide/>,"
    ,
      "
/gear/,<200 https://www.engadget.com/buyers-guide/>,"
    ,
      "
/gaming/,<200 https://www.engadget.com/buyers-guide/>,"
    ,
      "
/entertainment/,<200 https://www.engadget.com/buyers-guide/>,"
    ,
      "
/tomorrow/,<200 https://www.engadget.com/buyers-guide/>,"
    ,
      "
/buyers-guide/,<200 https://www.engadget.com/buyers-guide/>,"
    ,
      "
/videos/,<200 https://www.engadget.com/buyers-guide/>,"
    ,
      "
/reviews/,<200 https://www.engadget.com/buyers-guide/>,"
    ,
      "
https://www.facebook.com/engadget,<200 https://www.engadget.com/buyers-guide/>,"
          ,
        "
https://twitter.com/engadget,<200 https://www.engadget.com/buyers-guide/>,"
          ,
        "
https://www.youtube.com/engadget,<200 https://www.engadget.com/buyers-guide/>,"
          ,
        "
/login/?lang=en-us&intl=us&src=fp-us&next=https://www.engadget.com/buyers-guide/,<200 https://www.engadget.com/buyers-guide/>,"
    ,
      "
https://login.engadget.com/account/create?specId=usernameReg,<200 https://www.engadget.com/buyers-guide/>,"
    ,
      "
/gear/,<200 https://www.engadget.com/buyers-guide/>,"
                Gear
              "
/gaming/,<200 https://www.engadget.com/buyers-guide/>,"
                Gaming
              "
/entertainment/,<200 https://www.engadget.com/buyers-guide/>,"
                Entertainment
              "
/tomorrow/,<200 https://www.engadget.com/buyers-guide/>,"
                Tomorrow
              "
/buyers-guide/,<200 https://www.engadget.com/buyers-guide/>,"
                The Buyer's Guide
              "
/videos/,<200 https://www.engadget.com/buyers-guide/>,"
                Video
              "
/reviews/,<200 https://www.engadget.com/buyers-guide/>,"
                Reviews
              "
/login/?lang=en-us&intl=us&src=fp-us&next=https://www.engadget.com/buyers-guide/,<200 https://www.engadget.com/buyers-guide/>,"
                  ,
                "
/buyers-guide/,<200 https://www.engadget.com/buyers-guide/>,"
              ,
              ,
            "
/buyers-guide/phones/,<200 https://www.engadget.com/buyers-guide/>,"
              ,
              ,
            "
/buyers-guide/laptops/,<200 https://www.engadget.com/buyers-guide/>,"
              ,
              ,
            "
/buyers-guide/gaming-consoles-home/,<200 https://www.engadget.com/buyers-guide/>,"
              ,
              ,
            "
